DateKey,Date,Month,Quarter,Year
20240101,1/1/2024,January,Q1,2024
20240103,1/3/2024,January,Q1,2024
20240105,1/5/2024,January,Q1,2024
20240107,1/7/2024,January,Q1,2024
20240108,1/8/2024,January,Q1,2024
20240110,1/10/2024,January,Q1,2024
20240111,1/11/2024,January,Q1,2024
20240113,1/13/2024,January,Q1,2024
20240115,1/15/2024,January,Q1,2024
20240117,1/17/2024,January,Q1,2024
20240119,1/19/2024,January,Q1,2024
20240121,1/21/2024,January,Q1,2024
20240123,1/23/2024,January,Q1,2024
20240125,1/25/2024,January,Q1,2024
